# Folkets lexikon sv→en (CC BY-SA 2.5)
# 36329 entries from folkets-lexikon.csc.kth.se
-procentig	per cent
data|skärm	screen
data|terminal	computer terminal
datera	date
dato	date
dator	computer
datorisera	computerize
datoriserad	computerised
datorisering	computerise (England) -ize(usa), computerization
datorkommunikation	Computer comunication
datornät	computer network
datorprogram	computer program, software
datorrelaterad	computer-related
datorspel	computer game, computergame, video game
datorstyrd	computer controlled
datorstödd	computer-supported
datortid	computer time
dator|utrustning	computer equipment, hardware
datum	date
datummärka	date
datumstämpla	timestamp
datumstämpling	date stamp
davids|stjärna	Star of David
deadline	deadline
debatt	debate
debattartikel	debate article
debattera	debate
debattinlägg	Debate entery
debattledare	Moderator
debet	debit
debet|sedel	demand note
debitera	debit
debut	debut
debutera	make one&#39;s debut
debutförfattare	debut author
december	December
decemberdag	December day
decennium	decade, decennium
decentralisera	decentralize
decentraliserad	decentralised, decentralized
decentralisering	decentralize
dechiffreras	decipher
decibel	decibel
decimal	decimal
decimalerna	the decimals
decimalsystem	decimalsystem
decimera	decimate
deci|liter	decilitre, (deciliter [US])
deci|meter	decimetre, (decimeter [US])
deckare	detective novel (story), dick, sleuth, whodunit
dedicera	dedicate
dedikation	dedication
dedikationsexemplar	dedication copy
defekt	defect, defective
defenestrera	Defenestrate
defensiv	defensive
defensivspelare	defense players, defensive players
defilera	file, march
definiera	define
definierad	defined
definierbar	defineable
definition	definition
definitiv	definitive
definitivt	definitely
deflation	deflation
deformera	deform
deformerad	deformed
deg	dough
dega	loaf about
degel	crucible
degradera	degrade
degraderar	degrade, degrading, degradation, to degrade
dej	you
deja vu	déjà vu
dejtingsajt	dating site
deka ner sig	go to the dogs
dekadansperiod	period if decadance
dekadent	blasé, decadent
dekal	decal, sticker, streamer
dekalen	tag
dekantering	decant, decanting
dekatering	decantation
dekis	decadence
deklamera	recite
deklaration	declaration, income-tax return (form), ingredients
deklarera	declare, fill in one&#39;s income-tax return form
deklination	declension
dekoder	decoder
dekokt	concoction
dekontamineringen	the decontamination
dekor	decor
dekoration	decoration
dekorationskonst	conception
dekorativ	decorative
dekorera	decorate
dekorerad	decorated
del	part
dela	cut up, divide, share, split up
dela sig	decouple
delad	shared, split
delaktig	involved, mixed up in
delaktighet	participation, participity
delande	development, sharing
delar	parts
delbar	dividable, divisible, outcast, possible to split
delbarhet	Tradition, divisibility, divisible
delegat	delegate
delegera	delegate
delegering	delegate, delegating, delegation
delfin	dolphin
delge	communicate, inform
delgivningskvitto	service receipt, return receipt
delikat	delicate
delikatess	delicacy
delikatesser	delicacies
delirium	delirium
delmål	partial goal, pushchair
delning	division, sharing
delprojekt	sub-project
delrubrik	sub-headings
dels	partly . . . partly
delstatsparlament	state parlament
delstatspolis	state trooper
delsträcka	stage
delta	attend, be present, delta, participate, sympathize, take part
deltagarantal	participants
deltidare	part timer, part-time worker
deltidsanställning	part-time employment
deltidsjobb	part time job
deltidsstuderande	part-time student, part-time students
deltids|arbete	part-time work
deltids|grupp	nursery school, play school
delvis	partly
del|pension	partial pension
del|tagande	compassion, empathy, participation, sympathy, taking part
del|tagare	participant, participator
del|tid	part-time
del|tog	attended, participated, took part, was present
del|ägare	joint owner, part owner, partner
dem	them
demagog	demagogue
demagogerna	the demagogues
demagogisk	demagogical
dementa	demented
dementera	deny
demilitarisering	demilitarization
demobilisera	demobilization
demobilisering	demobilisation, demobilization, demobilizing
demobiliseringen	demobilization
demografi	demography
demografin	demography
demografisk	demographic
demokrat	democrat
demokrati	democracy
demokratisering	democratisize, democratization
demokratiseringsprocessen	democratization
demokratisk	democratic
demokratiskt	democratically
demon	demon
demonisera	demonize
demonstrant	demonstrator
demonstration	demonstration
demonstrationsexemplar	exhibition item
demonstrera	demonstrate
demontera	desmount, dismount
demontering	disassembly, mange, surface, to strip down
demoraliserande	demoralising
den	it, he, she, that, the, that
denaturerande	denaturing
denguefeber	dengue fever
denim	denim
denna	this
deodorant	deodorant
departement	(department [US]), ministry
deponera	deposit
deponering	deposition, landfill
deportera	deport
deppa	have the blues, be down in the dumps, be (feel) low (sad)
deppad	(feeling) depressed (sad, blue, low), down in the dumps
deppig	(feeling) depressed (sad, blue, down in the dumps, low)
depression	depression
depressionstillstånd	Depression, State of depression, depression condition
deprimera	depression
deprimerad	depressed
depå	depot
deras	their, theirs
derbylopp	derby race
derivera	derivate
derivering	derivation
dermatologisk	dermatological
desertera	desert
desertör	Deserter
design	design
designad	designed
designkonsult	vg
desillusionerad	disillusioned
desinfektera	disinfect
desinfektion	disinfection
desinficera	disinfect
desinficerande	disinfecting
desinficeras	desinfected
desinformation	disinformation
desinformera	disinform, disinformation, said
desperat	desperate
despot	despot
dess	his, her, its, their, the, then
dessa	these
dessbättre	fortunately
dessert	dessert
dessertvin	dessert wine
dessförinnan	before then, beforehand, previously
dessutom	besides, furthermore, in addition, moreover
dessvärre	unfortunately
destabilisera	destabilize
destabiliserande	destabilising, destabilizing
destabilisering	destabilization
destillation	distillation
destillera	distil
destilleringsapparat	distillation apparatus
destination	destination
destinationsland	country of destination
desto	The
destruktion	destruction
destruktiv	destructive
destrukturering	destructuring, reclusive
det	it, that
det var en gång	once upon a time
detalj	detail, part
detaljarbete	detail work
detaljbeskrivning	detailed description
detaljerad	detailed
detaljfråga	matter of detail
detaljförsäljning	retail
detaljhandlare	retailer
detaljkarta	detailed map
detaljplan	detail plan
detaljrikedom	very detailed
detaljsinne	eye for detail, head for details, sense for details
detalj|handel	retail trade, retailing
detektion	detection
detektiv	detective
detektivarbete	detective work
detektivbyrå	detective agency
detektivgåta	detective riddle
detektor	detector
detonera	detonate
detsamma	the same
detta	this
devalvera	devaluate, devalue
devis	device, motto
dia	(film) slide, nurse, suck, suckle, transparency
diabetes	diabetes
diabetiker	diabetic
diadem	diadem, headband, tiara
diafragma	diaphragm
diagnos	diagnosis
diagnostik	Citat, diagnostic, diagnostics
diagnostiker	diagnostician
diagnostisera	diagnose, make a diagnosis of
diagnostisering	diagnosing
diagnostisk	diagnostic
diagonal	diagonal
diagonala	diagonal
diagram	diagram
diagramblad	diagram sheet
diagrammet	the diagram
dialekt	dialect
dialektal	dialectal
dialektord	dialect
dialektuttal	dialect accent, dialectial pronunciation
dialog	(dialog [US]), dialogue
dialys	dialysis, mandatory
diamant	diamond
diamantborr	diamond bit
diamantbrosch	diamond brooch
diamanthandlare	diamond merchant
diamantindustri	diamond industry
diamantsmycke	diamond jewelery
diameter	diameter
diapositiv	diapositive
diarieföra	register
diarieföring	keep a diary
diarium	diary, journal
diarré	diarrhoea, (diarrhea [US])
diesel	diesel
dieselbil	diesel car
dieselbränsle	diesel, diesel fuel
dieselbuss	diesel bus
dieseldrift	diesel powered, dieselpower
dieseldriven	diesel-engined
dieselspill	diesel spill
diesel|motor	diesel engine
diesel|olja	diesel oil (fuel)
diet	diet
dietist	dietician
differens	difference
differentiera	differentiate
diffus	blurred, diffuse
difteri	diphtheria
difteriepidemi	mayhem
dig	you
diger	bulky, huge, thick, voluminous
diger|döden	the Black Death
digga	dig
digital	digital
digital-	digital
digitalis	digitalis
digitalisera	digitalise, digitalize
digitaliseras	is being digitalised
digitalpengar	digital money
digitalsiffra	digital number
digna	be weighed down, collapse, sink down
dignitet	power
dikalciumfosfat	dicalciumphosphate
dike	ditch, trench
dikt	fabrication, fiction, poem, poetry
dikta	caulk, write (compose) poetry
diktamen	dictation
diktare	writer, poet
diktarnatur	poetic nature
diktart	poesi
diktat	dictate
diktator	dictator
diktatur	dictatorship
diktaturstat	dictatorship
diktbok	poetry book
diktera	dictate
diktsamling	collection of poems, poem collection, poetry book
dikttolkning	interpretation of poetry, poetry interpretation
dilemma	dilemma
dill	dill
dilla	babble, talk nonsense
dille	craze, hang-up, mania
dillsås	dill sauce
dimension	dimension
dimensionera	dimentionize
dimensionering	effectuate, sizing
dimma	fog, mist
dimmig	foggy
dimpa	drop, fall, tumble
dimridå	curtain of mist
dim|ljus	fog light
din	your
dingla	dangle, swing
dinkel	spelt
dinosaurie	dinosaur
dinosaurierna	dinosaurs
dinosaurus	dinosaur
dionysisk	Sopor, everywhere
dioxinhalt	dioxin-content
diplom	diploma
diplomat	diplomat
diplomati	Diplomacy
diplomatisk	diplomatic; tactful, cautious
diplomatpass	dimplomatic passport
diplomatportfölj	diplomatic portfolio
dipp	dip
dippa	dip
direkt	direct
direkt skatt	tax deducted from income at source
direkthet	directness
direkthjälp	direct help
direktion	management
direktiv	directive, instruction
direktlinje	Direct line
direktsändning	live
direktör	director
dirigent	conductor
dirigera	direct; conduct
dis	haze
disciplin	discipline
disciplinbrott	violations of discipline
disharmoni	discord, disharmony
disig	hazy
disk	(dirty) dishes, counter, disc, disc, disk, disk, washing-up
diska	disqualify, do the dishes, wash up
diskant	treble
diskare	dishwasher, washer-up
diskett	diskette, floppy disk
diskjockey	disc jockey
diskmedel	dishwashing detergent
disko	disco
diskodans	disco dancing
diskotek	disco, discotheque
disko|musik	disco (music)
diskreditera	discredit
diskret	discreet, subdued, tasteful, unobtrusive
diskretion	discretion
diskretionärt	Discretionary
diskriminera	discriminate
diskriminerande	discriminating
diskriminering	discrimination
disktrasa	dish cloth, dishcloth
diskus	discus
diskussion	debate, deliberation, discussion
diskussionsgrupp	discussion group, workshop
diskussionsinlägg	post
diskussionsklubb	talkclubs
diskussionsprotokoll	verbatim record
diskussionsämne	topic
diskutabel	debatable, questionable
diskutera	argue, debate, discuss
diskvalificera	disqualify
diskvalificering	disqualitation
disk|bråck	slipped disc
disk|bänk	(kitchen) sink
disk|ho	kitchen sink
disk|maskin	dishwasher, washing-up machine
disk|plockare	(bus boy [US]), table clearer
disk|ställ	plate rack, (dish drainer [US])
dislokation	dislocated, dislocation
dispens	dispensation, exemption
dispensär	tuberculosis clinic
disponent	managing director
disponera	arrange, have at one&#39;s disposal
disponerad	disposed, inclined, predisposed, susceptible
disponibel	available, disposable
disposition	disposal, outline, plan, predisposition, susceptibility
dispositionsrätt	disposition rights
disputation	(public) defence of a doctoral thesis
disputera	defend thesis
dispyt	controversy, dispute
dispyter	deception
distans	distance, perspective
distansarbete	teleworking
distanskurs	distance course
distans|minut	nautical mile
distingerad	distinguished, dignified
distinkt	distinct
distinktion	distinction
distrahera	distract, disturb
distribuera	distribute
distribuering	distribution
distribution	distribution
distributionsapparat	distribuition organisation
distributionsföretag	distribution company
distributionssystem	distribution system
distributör	distributor
distrikt	district
distriktsmästerskap	District-campionship, district championship
distrikts|läkare	district medical officer
distrikts|sköterska	district nurse
disträ	absent-minded, distracted
disulfid	disulfide
dit	in that direction, that way, there, where
dito	ditto
ditt	your, yours
dittills	thitherto, thus far, until (up to) then
ditåt	in that direction, that way
diva	diva
diverse	sundry, various
diversifierat	diversified
diversifiering	diversification
dividera	argue about, divide
division	battalion, division, squadron
divulge	yppa
djungel	jungle
djungelliknande	jungel-like
djup	deep, depth, low
djupandning	deep breathing
djupare	deeper
djupborrande	deep-drilling
djupfrusen	deep-frozen
djupfrysa	deep freeze, quick freeze
djupfrysning	deep freezing
djupfryst	deep freeze, deep frozen
djuphavsfiske	deep sea fishing, deep see fishing, deep water fishing
djuphavsforskning	deep sea research
djuphet	deepness, depth
djuplodande	in depth
djupna	deepening
djuprotad	deep-rooted
djupröd	capricorn, deep red
djupt	deep, deeply
djup|sinnig	deep, profound
djur	animal
djurart	animal species, species
djurarter	species
djuravfall	animal waste
djurbestånd	livestock
djurexperiment	Animal experiments, animal experiment
djurfoder	animal food
djurförsök	animal testing
djuriska	beastly
djurkroppar	carcass
djurliv	animal life, delivery device, fauna, wildlife
djurpark	Zoo, animalpark, zoo / safari park
djurplankton	animal plancton
djurriket	animal kingdom
djurrätt	animal rights
djursjukdom	animal disease, animal sickness
djurskydd	animal protection
djurskyddshem	animal shelter
djurspillning	animal droppings, droppings
djuruppfödare	animal breeder, animal feeder, animalbreeder, breed, breeder
djuruppfödarna	animal-breeders
djuruppfödning	cattle breeding
djurvän	animal friend, animal lover
djurvänlig	animal-friendly
djurvänliga	animal-friendly
djurvårdare	animal keeper
djäkel	devil
djäkla	darn
djäklar	darn
djärv	bold, brave, daring
djävel	bastard, bugger
djävla	bloody, damn, goddamned
djävlar	goddamn!
djävlig	bloody, (goddamn, goddamned [US])
djävligt	(goddamned [US]), bloody
djävul	devil, fiend
djävulsk	devilish, diabolic, diabolical, evil
do	(att) göra, göra
doa	sing doo-wop
dobbel	gambling, gaming
dobbleri	gambling, gaming
docent	(associate professor [US]), senior lecturer
dock	yet, nevertheless, still; however
docka	dock, doll, dummy, puppet
dockansikte	doll face
dockhus	dollhouse
dockklänning	doll dress, doll&#39;s dress
dockskåp	doll cabinent, dollhouse
dockvagn	doll carriage, doll&#39;s pram
doft	fragrance, odour, perfume, scent
dofta	smell (pleasant, sweet)
doftallergi	fragrance-allergy
doftlös	odorless
dog	died
dogm	dogma
dogmatiker	dogmatic
dogmatisk	dogmatic
dogmatiskt	dogmatically
doja	shoe
doktor	doctor, physician
doktorand	Ph.D, Ph.D student, PhD student, post graduate PhD
doktorander	phd students
doktorera	study for one&#39;s doctor&#39;s degree
doktrin	doctrine
doktrinskifte	doctrine shift
dokument	document
dokumentation	documentation
dokumentera	to document
dokumentförstörare	document shredder
dokumentmapp	file folder
dokumentpärmar	binder, document binder, document binders, folders, properity
dokumentär	documentary
dokumentärprogram	documentaries
dokumentärskildring	Documentary
dold	concealed, hidden
dolde	concealed, hid
doldis	(little-known) obscure person
dolk	dagger
dollar	dollar
dolt	concealed, hidden
dom	cathedral, judgment, sentence, decree, verdict, them
domarbord	judges table
domare	judge; referee, umpire
domar|ring	stone circle
